"","values","description"
"ResponseId.148","R_3sp5oeOSwjLvxtt","R_3sp5oeOSwjLvxtt"
"ResponseId.149","R_4NLahUu6x3lZxHH","R_4NLahUu6x3lZxHH"
"ResponseId.150","R_55qVkFHPftqugjT","R_55qVkFHPftqugjT"
"ResponseId.151","R_56FCwP6modiaj7P","R_56FCwP6modiaj7P"
"ResponseId.152","R_56VNJY6W0EmRHZT","R_56VNJY6W0EmRHZT"
"ResponseId.153","R_6yOVmaSLrFNxaxj","R_6yOVmaSLrFNxaxj"
"ResponseId.154","R_8vNrrYYYhWSZJ0R","R_8vNrrYYYhWSZJ0R"
"ResponseId.155","R_9GrulbqZv33bGZX","R_9GrulbqZv33bGZX"
"ResponseId.156","R_aa5Fmoeq0481lNT","R_aa5Fmoeq0481lNT"
"ResponseId.157","R_BSwNbxRrpYVR3Sp","R_BSwNbxRrpYVR3Sp"
"ResponseId.158","R_CfWrbpLvYYo0KWt","R_CfWrbpLvYYo0KWt"
"ResponseId.159","R_cx1zRJpwHPQ60Jb","R_cx1zRJpwHPQ60Jb"
"ResponseId.160","R_eflsGbu4UQDpKXT","R_eflsGbu4UQDpKXT"
"ResponseId.161","R_ero3bhqcujpgMH7","R_ero3bhqcujpgMH7"
"ResponseId.162","R_Od8T5Cy3hq3ow81","R_Od8T5Cy3hq3ow81"
"ResponseId.163","R_pyZrPsqf7HzJpT3","R_pyZrPsqf7HzJpT3"
"ResponseId.164","R_r7JrepqmwfA4VpL","R_r7JrepqmwfA4VpL"
"ResponseId.165","R_RbhCruCSoHBSQOR","R_RbhCruCSoHBSQOR"
"ResponseId.166","R_Rq8dvesnE16HNlv","R_Rq8dvesnE16HNlv"
"ResponseId.167","R_rqpDXaFhMN5yBxL","R_rqpDXaFhMN5yBxL"
"ResponseId.168","R_T4WHXgeg33ozC49","R_T4WHXgeg33ozC49"
"ResponseId.169","R_TtRhYTo0yiQGn7z","R_TtRhYTo0yiQGn7z"
"ResponseId.170","R_UhBmc6zQibfcJZT","R_UhBmc6zQibfcJZT"
"ResponseId.171","R_VKAADKN81QGuQO5","R_VKAADKN81QGuQO5"
"ResponseId.172","R_vVsKfMj8d8T6rLj","R_vVsKfMj8d8T6rLj"
"ResponseId.173","R_x3JvHAGGHYlLe0h","R_x3JvHAGGHYlLe0h"
"ResponseId.174","R_XgCvpGuVaOqXnep","R_XgCvpGuVaOqXnep"
"ResponseId.175","R_XtwvGUtRmu0Jn0J","R_XtwvGUtRmu0Jn0J"
"ResponseId.176","R_YQTAwAggZkZTO37","R_YQTAwAggZkZTO37"
"RecipientLastName","",""
"RecipientFirstName","",""
"RecipientEmail","",""
"ExternalReference","",""
"DistributionChannel","anonymous","anonymous"
"UserLanguage","EN","EN"
"Q16","1","I consent to take part in this study."
"Q14.1","1","Male"
"Q14.2","2","Female"
"Q14.3","3","Other"
"Q14_3_TEXT.1","",""
"Q14_3_TEXT.2","Female       Mturk ID: A1EN3FW93BSXQQ","Female       Mturk ID: A1EN3FW93BSXQQ"
"Q15.1","1","White/Caucasian"
"Q15.2","2","Black"
"Q15.3","3","Native American"
"Q15.4","4","Asian"
"Q15.5","5","American Indian or Alaskan Native"
"Q15.6","6","Multiple"
"Q15.7","7","Other"
"Q15_7_TEXT","",""
"Q1_1.1","1","Never TRUE"
"Q1_1.2","2","Rarely TRUE"
"Q1_1.3","3","Occasionally TRUE"
"Q1_1.4","4","Often TRUE"
"Q1_1.5","5","Very Often TRUE"
"Q1_1.6","6","Always TRUE"
"Q1_2.1","1","Never TRUE"
"Q1_2.2","2","Rarely TRUE"
"Q1_2.3","3","Occasionally TRUE"
"Q1_2.4","4","Often TRUE"
"Q1_2.5","5","Very Often TRUE"
"Q1_2.6","6","Always TRUE"
"Q1_3.1","1","Never TRUE"
"Q1_3.2","2","Rarely TRUE"
"Q1_3.3","3","Occasionally TRUE"
"Q1_3.4","4","Often TRUE"
"Q1_3.5","5","Very Often TRUE"
"Q1_3.6","6","Always TRUE"
"Q1_4.1","1","Never TRUE"
"Q1_4.2","2","Rarely TRUE"
"Q1_4.3","3","Occasionally TRUE"
"Q1_4.4","4","Often TRUE"
"Q1_4.5","5","Very Often TRUE"
"Q1_4.6","6","Always TRUE"
"Q1_5.1","1","Never TRUE"
"Q1_5.2","2","Rarely TRUE"
"Q1_5.3","3","Occasionally TRUE"
"Q1_5.4","4","Often TRUE"
"Q1_5.5","5","Very Often TRUE"
"Q1_5.6","6","Always TRUE"
"Q1_6.1","1","Never TRUE"
"Q1_6.2","2","Rarely TRUE"
"Q1_6.3","3","Occasionally TRUE"
"Q1_6.4","4","Often TRUE"
"Q1_6.5","5","Very Often TRUE"
"Q1_6.6","6","Always TRUE"
"Q1_7.1","1","Never TRUE"
"Q1_7.2","2","Rarely TRUE"
"Q1_7.3","3","Occasionally TRUE"
"Q1_7.4","4","Often TRUE"
"Q1_7.5","5","Very Often TRUE"
"Q1_7.6","6","Always TRUE"
"Q1_8.1","1","Never TRUE"
"Q1_8.2","2","Rarely TRUE"
"Q1_8.3","3","Occasionally TRUE"
"Q1_8.4","4","Often TRUE"
"Q1_8.5","5","Very Often TRUE"
"Q1_8.6","6","Always TRUE"
"Q1_9.1","1","Never TRUE"
"Q1_9.2","2","Rarely TRUE"
"Q1_9.3","3","Occasionally TRUE"
"Q1_9.4","4","Often TRUE"
"Q1_9.5","5","Very Often TRUE"
"Q1_9.6","6","Always TRUE"
"Q1_10.1","1","Never TRUE"
"Q1_10.2","2","Rarely TRUE"
"Q1_10.3","3","Occasionally TRUE"
"Q1_10.4","4","Often TRUE"
"Q1_10.5","5","Very Often TRUE"
"Q1_10.6","6","Always TRUE"
"Q1_11.1","1","Never TRUE"
"Q1_11.2","2","Rarely TRUE"
"Q1_11.3","3","Occasionally TRUE"
"Q1_11.4","4","Often TRUE"
"Q1_11.5","5","Very Often TRUE"
"Q1_11.6","6","Always TRUE"
"Q1_12.1","1","Never TRUE"
"Q1_12.2","2","Rarely TRUE"
"Q1_12.3","3","Occasionally TRUE"
"Q1_12.4","4","Often TRUE"
"Q1_12.5","5","Very Often TRUE"
"Q1_12.6","6","Always TRUE"
"Q7_First_Click.1","0","0"
"Q7_First_Click.2","0.558","0.558"
"Q7_First_Click.3","0.764","0.764"
"Q7_First_Click.4","0.993","0.993"
"Q7_First_Click.5","1.064","1.064"
"Q7_First_Click.6","1.134","1.134"
"Q7_First_Click.7","1.175","1.175"
"Q7_First_Click.8","1.176","1.176"
"Q7_First_Click.9","1.236","1.236"
"Q7_First_Click.10","1.246","1.246"
"Q7_First_Click.11","1.266","1.266"
"Q7_First_Click.12","1.411","1.411"
"Q7_First_Click.13","1.418","1.418"
"Q7_First_Click.14","1.437","1.437"
"Q7_First_Click.15","1.529","1.529"
"Q7_First_Click.16","1.531","1.531"
"Q7_First_Click.17","1.581","1.581"
"Q7_First_Click.18","1.584","1.584"
"Q7_First_Click.19","1.629","1.629"
"Q7_First_Click.20","1.648","1.648"
"Q7_First_Click.21","1.669","1.669"
"Q7_First_Click.22","1.734","1.734"
"Q7_First_Click.23","1.818","1.818"
"Q7_First_Click.24","1.86","1.86"
"Q7_First_Click.25","1.904","1.904"
"Q7_First_Click.26","1.944","1.944"
"Q7_First_Click.27","2.061","2.061"
"Q7_First_Click.28","2.148","2.148"
"Q7_First_Click.29","2.218","2.218"
"Q7_First_Click.30","2.275","2.275"
"Q7_First_Click.31","2.333","2.333"
"Q7_First_Click.32","2.412","2.412"
"Q7_First_Click.33","2.488","2.488"
"Q7_First_Click.34","2.5","2.5"
"Q7_First_Click.35","2.566","2.566"
"Q7_First_Click.36","2.594","2.594"
"Q7_First_Click.37","2.608","2.608"
"Q7_First_Click.38","2.637","2.637"
"Q7_First_Click.39","2.882","2.882"
"Q7_First_Click.40","2.987","2.987"
"Q7_First_Click.41","2.989","2.989"
"Q7_First_Click.42","2.996","2.996"
"Q7_First_Click.43","3.137","3.137"
"Q7_First_Click.44","3.153","3.153"
"Q7_First_Click.45","3.314","3.314"
"Q7_First_Click.46","3.476","3.476"
"Q7_First_Click.47","3.535","3.535"
"Q7_First_Click.48","3.701","3.701"
"Q7_First_Click.49","3.835","3.835"
"Q7_First_Click.50","3.842","3.842"
"Q7_First_Click.51","3.932","3.932"
"Q7_First_Click.52","4.005","4.005"
"Q7_First_Click.53","4.167","4.167"
"Q7_First_Click.54","4.183","4.183"
"Q7_First_Click.55","4.243","4.243"
"Q7_First_Click.56","4.293","4.293"
"Q7_First_Click.57","4.309","4.309"
"Q7_First_Click.58","4.371","4.371"
"Q7_First_Click.59","4.591","4.591"
"Q7_First_Click.60","4.596","4.596"
"Q7_First_Click.61","4.712","4.712"
"Q7_First_Click.62","4.769","4.769"
"Q7_First_Click.63","4.838","4.838"
"Q7_First_Click.64","4.982","4.982"
"Q7_First_Click.65","5.015","5.015"
"Q7_First_Click.66","5.283","5.283"
"Q7_First_Click.67","5.332","5.332"
"Q7_First_Click.68","5.447","5.447"
"Q7_First_Click.69","5.547","5.547"
"Q7_First_Click.70","5.65","5.65"
"Q7_First_Click.71","5.659","5.659"
"Q7_First_Click.72","5.666","5.666"
"Q7_First_Click.73","5.71","5.71"
"Q7_First_Click.74","5.804","5.804"
"Q7_First_Click.75","5.922","5.922"
"Q7_First_Click.76","6.006","6.006"
"Q7_First_Click.77","6.033","6.033"
"Q7_First_Click.78","6.069","6.069"
"Q7_First_Click.79","6.085","6.085"
"Q7_First_Click.80","6.182","6.182"
"Q7_First_Click.81","6.239","6.239"
"Q7_First_Click.82","6.248","6.248"
"Q7_First_Click.83","6.466","6.466"
"Q7_First_Click.84","6.472","6.472"
"Q7_First_Click.85","6.642","6.642"
"Q7_First_Click.86","6.675","6.675"
"Q7_First_Click.87","6.726","6.726"
"Q7_First_Click.88","7.019","7.019"
"Q7_First_Click.89","7.186","7.186"
"Q7_First_Click.90","7.701","7.701"
"Q7_First_Click.91","7.811","7.811"
"Q7_First_Click.92","7.976","7.976"
"Q7_First_Click.93","7.995","7.995"
"Q7_First_Click.94","8.156","8.156"
"Q7_First_Click.95","8.175","8.175"
"Q7_First_Click.96","8.381","8.381"
"Q7_First_Click.97","8.435","8.435"
"Q7_First_Click.98","8.483","8.483"
"Q7_First_Click.99","8.541","8.541"
"Q7_First_Click.100","8.585","8.585"
"Q7_First_Click.101","8.656","8.656"
"Q7_First_Click.102","8.73","8.73"
"Q7_First_Click.103","8.745","8.745"
"Q7_First_Click.104","8.926","8.926"
"Q7_First_Click.105","8.968","8.968"
"Q7_First_Click.106","9.063","9.063"
"Q7_First_Click.107","9.077","9.077"
"Q7_First_Click.108","9.08","9.08"
"Q7_First_Click.109","9.1","9.1"
"Q7_First_Click.110","9.38","9.38"
"Q7_First_Click.111","9.423","9.423"
"Q7_First_Click.112","9.697","9.697"
"Q7_First_Click.113","9.997","9.997"
"Q7_First_Click.114","10.002","10.002"
"Q7_First_Click.115","10.615","10.615"
"Q7_First_Click.116","10.981","10.981"
"Q7_First_Click.117","11.142","11.142"
"Q7_First_Click.118","11.267","11.267"
"Q7_First_Click.119","11.522","11.522"
"Q7_First_Click.120","11.536","11.536"
"Q7_First_Click.121","11.69","11.69"
"Q7_First_Click.122","11.961","11.961"
"Q7_First_Click.123","12.126","12.126"
"Q7_First_Click.124","13.59","13.59"
"Q7_First_Click.125","14.285","14.285"
"Q7_First_Click.126","14.3","14.3"
"Q7_First_Click.127","14.527","14.527"
"Q7_First_Click.128","14.604","14.604"
"Q7_First_Click.129","14.813","14.813"
"Q7_First_Click.130","15.662","15.662"
"Q7_First_Click.131","15.853","15.853"
"Q7_First_Click.132","16.09","16.09"
"Q7_First_Click.133","16.137","16.137"
"Q7_First_Click.134","17.057","17.057"
"Q7_First_Click.135","17.09","17.09"
"Q7_First_Click.136","17.144","17.144"
"Q7_First_Click.137","17.702","17.702"
"Q7_First_Click.138","18.984","18.984"
"Q7_First_Click.139","21.106","21.106"
"Q7_First_Click.140","21.298","21.298"
"Q7_First_Click.141","25.718","25.718"
"Q7_First_Click.142","25.74","25.74"
"Q7_First_Click.143","25.989","25.989"
"Q7_First_Click.144","26.621","26.621"
"Q7_First_Click.145","27.12","27.12"
"Q7_First_Click.146","27.621","27.621"
"Q7_First_Click.147","31.755","31.755"
"Q7_First_Click.148","32.138","32.138"
"Q7_First_Click.149","41.519","41.519"
"Q7_First_Click.150","44.307","44.307"
"Q7_First_Click.151","44.35","44.35"
"Q7_First_Click.152","50.851","50.851"
"Q7_First_Click.153","51.723","51.723"
"Q7_First_Click.154","77.413","77.413"
"Q7_First_Click.155","95.221","95.221"
"Q7_First_Click.156","146.092","146.092"
"Q7_First_Click.157","192.695","192.695"
"Q7_First_Click.158","446.263","446.263"
"Q7_Last_Click.1","0","0"
"Q7_Last_Click.2","7.693","7.693"
"Q7_Last_Click.3","8.84","8.84"
"Q7_Last_Click.4","9.093","9.093"
"Q7_Last_Click.5","9.1","9.1"
"Q7_Last_Click.6","9.144","9.144"
"Q7_Last_Click.7","9.37","9.37"
"Q7_Last_Click.8","10.351","10.351"
"Q7_Last_Click.9","10.547","10.547"
"Q7_Last_Click.10","11.054","11.054"
"Q7_Last_Click.11","11.296","11.296"
"Q7_Last_Click.12","11.473","11.473"
"Q7_Last_Click.13","11.807","11.807"
"Q7_Last_Click.14","11.836","11.836"
"Q7_Last_Click.15","12.09","12.09"
"Q7_Last_Click.16","12.156","12.156"
"Q7_Last_Click.17","12.403","12.403"
"Q7_Last_Click.18","12.795","12.795"
"Q7_Last_Click.19","13.097","13.097"
"Q7_Last_Click.20","13.218","13.218"
"Q7_Last_Click.21","13.73","13.73"
"Q7_Last_Click.22","14.095","14.095"
"Q7_Last_Click.23","14.184","14.184"
"Q7_Last_Click.24","14.407","14.407"
"Q7_Last_Click.25","15.19","15.19"
"Q7_Last_Click.26","15.64","15.64"
"Q7_Last_Click.27","15.835","15.835"
"Q7_Last_Click.28","16.635","16.635"
"Q7_Last_Click.29","16.694","16.694"
"Q7_Last_Click.30","16.712","16.712"
"Q7_Last_Click.31","16.963","16.963"
"Q7_Last_Click.32","17.019","17.019"
"Q7_Last_Click.33","17.135","17.135"
"Q7_Last_Click.34","17.369","17.369"
"Q7_Last_Click.35","17.397","17.397"
"Q7_Last_Click.36","17.44","17.44"
"Q7_Last_Click.37","17.921","17.921"
"Q7_Last_Click.38","18.001","18.001"
"Q7_Last_Click.39","19.474","19.474"
"Q7_Last_Click.40","19.942","19.942"
"Q7_Last_Click.41","20.638","20.638"
"Q7_Last_Click.42","21.073","21.073"
"Q7_Last_Click.43","21.421","21.421"
"Q7_Last_Click.44","21.519","21.519"
"Q7_Last_Click.45","22.677","22.677"
"Q7_Last_Click.46","23.093","23.093"
"Q7_Last_Click.47","23.131","23.131"
"Q7_Last_Click.48","25.02","25.02"
"Q7_Last_Click.49","25.185","25.185"
"Q7_Last_Click.50","25.198","25.198"
"Q7_Last_Click.51","25.723","25.723"
"Q7_Last_Click.52","25.896","25.896"
"Q7_Last_Click.53","26.212","26.212"
"Q7_Last_Click.54","26.424","26.424"
"Q7_Last_Click.55","27.045","27.045"
"Q7_Last_Click.56","27.118","27.118"
"Q7_Last_Click.57","28.116","28.116"
"Q7_Last_Click.58","28.949","28.949"
"Q7_Last_Click.59","30.06","30.06"
"Q7_Last_Click.60","30.455","30.455"
"Q7_Last_Click.61","30.547","30.547"
"Q7_Last_Click.62","30.789","30.789"
"Q7_Last_Click.63","30.802","30.802"
"Q7_Last_Click.64","31.107","31.107"
"Q7_Last_Click.65","31.282","31.282"
"Q7_Last_Click.66","31.95","31.95"
"Q7_Last_Click.67","31.991","31.991"
"Q7_Last_Click.68","32.174","32.174"
"Q7_Last_Click.69","33.659","33.659"
"Q7_Last_Click.70","34.084","34.084"
"Q7_Last_Click.71","35.104","35.104"
"Q7_Last_Click.72","35.194","35.194"
"Q7_Last_Click.73","35.482","35.482"
"Q7_Last_Click.74","37.376","37.376"
"Q7_Last_Click.75","37.507","37.507"
"Q7_Last_Click.76","37.901","37.901"
"Q7_Last_Click.77","38.088","38.088"
"Q7_Last_Click.78","38.26","38.26"
"Q7_Last_Click.79","39.01","39.01"
"Q7_Last_Click.80","39.987","39.987"
"Q7_Last_Click.81","40.008","40.008"
"Q7_Last_Click.82","41.235","41.235"
"Q7_Last_Click.83","41.433","41.433"
"Q7_Last_Click.84","41.539","41.539"
"Q7_Last_Click.85","41.81","41.81"
"Q7_Last_Click.86","41.953","41.953"
"Q7_Last_Click.87","43.628","43.628"
"Q7_Last_Click.88","43.897","43.897"
"Q7_Last_Click.89","46.308","46.308"
"Q7_Last_Click.90","46.473","46.473"
"Q7_Last_Click.91","47.155","47.155"
"Q7_Last_Click.92","47.186","47.186"
"Q7_Last_Click.93","48.461","48.461"
"Q7_Last_Click.94","49.133","49.133"
"Q7_Last_Click.95","50.257","50.257"
"Q7_Last_Click.96","50.297","50.297"
"Q7_Last_Click.97","50.704","50.704"
"Q7_Last_Click.98","52.894","52.894"
"Q7_Last_Click.99","52.895","52.895"
"Q7_Last_Click.100","53.755","53.755"
"Q7_Last_Click.101","54.641","54.641"
"Q7_Last_Click.102","55.699","55.699"
"Q7_Last_Click.103","56.676","56.676"
"Q7_Last_Click.104","57.092","57.092"
"Q7_Last_Click.105","57.419","57.419"
"Q7_Last_Click.106","57.654","57.654"
"Q7_Last_Click.107","57.765","57.765"
"Q7_Last_Click.108","59.713","59.713"
"Q7_Last_Click.109","60.68","60.68"
"Q7_Last_Click.110","61.104","61.104"
"Q7_Last_Click.111","61.215","61.215"
"Q7_Last_Click.112","62.677","62.677"
"Q7_Last_Click.113","62.836","62.836"
"Q7_Last_Click.114","63.817","63.817"
"Q7_Last_Click.115","64.132","64.132"
"Q7_Last_Click.116","64.744","64.744"
"Q7_Last_Click.117","66.028","66.028"
"Q7_Last_Click.118","67.081","67.081"
"Q7_Last_Click.119","67.424","67.424"
"Q7_Last_Click.120","70.165","70.165"
"Q7_Last_Click.121","70.528","70.528"
"Q7_Last_Click.122","70.803","70.803"
"Q7_Last_Click.123","73.276","73.276"
"Q7_Last_Click.124","73.848","73.848"
"Q7_Last_Click.125","74.941","74.941"
"Q7_Last_Click.126","75.058","75.058"
"Q7_Last_Click.127","75.245","75.245"
"Q7_Last_Click.128","75.676","75.676"
"Q7_Last_Click.129","77.831","77.831"
"Q7_Last_Click.130","78.279","78.279"
"Q7_Last_Click.131","78.527","78.527"
"Q7_Last_Click.132","80.085","80.085"
"Q7_Last_Click.133","81.731","81.731"
"Q7_Last_Click.134","81.93","81.93"
"Q7_Last_Click.135","82.546","82.546"
"Q7_Last_Click.136","82.946","82.946"
"Q7_Last_Click.137","89.454","89.454"
"Q7_Last_Click.138","92.206","92.206"
"Q7_Last_Click.139","92.82","92.82"
"Q7_Last_Click.140","93.349","93.349"
"Q7_Last_Click.141","96.98","96.98"
"Q7_Last_Click.142","97.767","97.767"
"Q7_Last_Click.143","102.053","102.053"
"Q7_Last_Click.144","105.466","105.466"
"Q7_Last_Click.145","111.18","111.18"
"Q7_Last_Click.146","111.66","111.66"
"Q7_Last_Click.147","111.946","111.946"
"Q7_Last_Click.148","113.137","113.137"
"Q7_Last_Click.149","113.818","113.818"
"Q7_Last_Click.150","132.303","132.303"
"Q7_Last_Click.151","132.408","132.408"
"Q7_Last_Click.152","134.949","134.949"
"Q7_Last_Click.153","147.864","147.864"
"Q7_Last_Click.154","148.764","148.764"
"Q7_Last_Click.155","157.282","157.282"
"Q7_Last_Click.156","168.04","168.04"
"Q7_Last_Click.157","192.114","192.114"
"Q7_Last_Click.158","230.346","230.346"
"Q7_Last_Click.159","453.119","453.119"
"Q7_Page_Submit.1","1.637","1.637"
"Q7_Page_Submit.2","4.741","4.741"
"Q7_Page_Submit.3","5.122","5.122"
"Q7_Page_Submit.4","8.626","8.626"
"Q7_Page_Submit.5","9.779","9.779"
"Q7_Page_Submit.6","9.929","9.929"
"Q7_Page_Submit.7","10.131","10.131"
"Q7_Page_Submit.8","10.32","10.32"
"Q7_Page_Submit.9","11.304","11.304"
"Q7_Page_Submit.10","11.595","11.595"
"Q7_Page_Submit.11","12.013","12.013"
"Q7_Page_Submit.12","12.398","12.398"
"Q7_Page_Submit.13","12.843","12.843"
"Q7_Page_Submit.14","13.078","13.078"
"Q7_Page_Submit.15","13.296","13.296"
"Q7_Page_Submit.16","13.407","13.407"
"Q7_Page_Submit.17","14.06","14.06"
"Q7_Page_Submit.18","14.081","14.081"
"Q7_Page_Submit.19","14.082","14.082"
"Q7_Page_Submit.20","14.447","14.447"
"Q7_Page_Submit.21","14.542","14.542"
"Q7_Page_Submit.22","14.787","14.787"
"Q7_Page_Submit.23","15.026","15.026"
"Q7_Page_Submit.24","15.028","15.028"
"Q7_Page_Submit.25","15.667","15.667"
"Q7_Page_Submit.26","16.38","16.38"
"Q7_Page_Submit.27","16.864","16.864"
"Q7_Page_Submit.28","17.566","17.566"
"Q7_Page_Submit.29","17.901","17.901"
"Q7_Page_Submit.30","18.385","18.385"
"Q7_Page_Submit.31","18.505","18.505"
"Q7_Page_Submit.32","18.751","18.751"
"Q7_Page_Submit.33","18.838","18.838"
"Q7_Page_Submit.34","18.839","18.839"
"Q7_Page_Submit.35","18.891","18.891"
"Q7_Page_Submit.36","20.332","20.332"
"Q7_Page_Submit.37","20.383","20.383"
"Q7_Page_Submit.38","20.884","20.884"
"Q7_Page_Submit.39","21.241","21.241"
"Q7_Page_Submit.40","21.887","21.887"
"Q7_Page_Submit.41","22.51","22.51"
"Q7_Page_Submit.42","24.147","24.147"
"Q7_Page_Submit.43","24.407","24.407"
"Q7_Page_Submit.44","24.58","24.58"
"Q7_Page_Submit.45","25.012","25.012"
"Q7_Page_Submit.46","25.412","25.412"
"Q7_Page_Submit.47","26.373","26.373"
"Q7_Page_Submit.48","27.036","27.036"
"Q7_Page_Submit.49","27.196","27.196"
"Q7_Page_Submit.50","27.373","27.373"
"Q7_Page_Submit.51","27.461","27.461"
"Q7_Page_Submit.52","27.492","27.492"
"Q7_Page_Submit.53","27.749","27.749"
"Q7_Page_Submit.54","27.895","27.895"
"Q7_Page_Submit.55","28.077","28.077"
"Q7_Page_Submit.56","29.118","29.118"
"Q7_Page_Submit.57","29.616","29.616"
"Q7_Page_Submit.58","30.444","30.444"
"Q7_Page_Submit.59","30.596","30.596"
"Q7_Page_Submit.60","30.897","30.897"
"Q7_Page_Submit.61","31.23","31.23"
"Q7_Page_Submit.62","31.243","31.243"
"Q7_Page_Submit.63","32.583","32.583"
"Q7_Page_Submit.64","32.765","32.765"
"Q7_Page_Submit.65","33.564","33.564"
"Q7_Page_Submit.66","33.655","33.655"
"Q7_Page_Submit.67","33.91","33.91"
"Q7_Page_Submit.68","33.928","33.928"
"Q7_Page_Submit.69","34.408","34.408"
"Q7_Page_Submit.70","35.293","35.293"
"Q7_Page_Submit.71","36.162","36.162"
"Q7_Page_Submit.72","36.202","36.202"
"Q7_Page_Submit.73","36.418","36.418"
"Q7_Page_Submit.74","36.735","36.735"
"Q7_Page_Submit.75","37.035","37.035"
"Q7_Page_Submit.76","38.103","38.103"
"Q7_Page_Submit.77","39.147","39.147"
"Q7_Page_Submit.78","39.433","39.433"
"Q7_Page_Submit.79","39.724","39.724"
"Q7_Page_Submit.80","39.903","39.903"
"Q7_Page_Submit.81","40.317","40.317"
"Q7_Page_Submit.82","40.492","40.492"
"Q7_Page_Submit.83","40.701","40.701"
"Q7_Page_Submit.84","42.178","42.178"
"Q7_Page_Submit.85","42.195","42.195"
"Q7_Page_Submit.86","42.315","42.315"
"Q7_Page_Submit.87","42.634","42.634"
"Q7_Page_Submit.88","43.4","43.4"
"Q7_Page_Submit.89","44.018","44.018"
"Q7_Page_Submit.90","44.188","44.188"
"Q7_Page_Submit.91","45.296","45.296"
"Q7_Page_Submit.92","45.441","45.441"
"Q7_Page_Submit.93","45.813","45.813"
"Q7_Page_Submit.94","46.002","46.002"
"Q7_Page_Submit.95","47.84","47.84"
"Q7_Page_Submit.96","48.372","48.372"
"Q7_Page_Submit.97","49.209","49.209"
"Q7_Page_Submit.98","49.816","49.816"
"Q7_Page_Submit.99","50.667","50.667"
"Q7_Page_Submit.100","51.14","51.14"
"Q7_Page_Submit.101","51.557","51.557"
"Q7_Page_Submit.102","51.572","51.572"
"Q7_Page_Submit.103","53.573","53.573"
"Q7_Page_Submit.104","54.591","54.591"
"Q7_Page_Submit.105","55.825","55.825"
"Q7_Page_Submit.106","57.391","57.391"
"Q7_Page_Submit.107","58.085","58.085"
"Q7_Page_Submit.108","58.525","58.525"
"Q7_Page_Submit.109","58.811","58.811"
"Q7_Page_Submit.110","61.334","61.334"
"Q7_Page_Submit.111","61.736","61.736"
"Q7_Page_Submit.112","62.111","62.111"
"Q7_Page_Submit.113","62.18","62.18"
"Q7_Page_Submit.114","63.239","63.239"
"Q7_Page_Submit.115","64.601","64.601"
"Q7_Page_Submit.116","65.748","65.748"
"Q7_Page_Submit.117","65.988","65.988"
"Q7_Page_Submit.118","66.752","66.752"
"Q7_Page_Submit.119","66.758","66.758"
"Q7_Page_Submit.120","67.065","67.065"
"Q7_Page_Submit.121","68.274","68.274"
"Q7_Page_Submit.122","68.532","68.532"
"Q7_Page_Submit.123","71.155","71.155"
"Q7_Page_Submit.124","71.494","71.494"
"Q7_Page_Submit.125","71.513","71.513"
"Q7_Page_Submit.126","73.956","73.956"
"Q7_Page_Submit.127","74.577","74.577"
"Q7_Page_Submit.128","75.794","75.794"
"Q7_Page_Submit.129","76.024","76.024"
"Q7_Page_Submit.130","76.254","76.254"
"Q7_Page_Submit.131","76.548","76.548"
"Q7_Page_Submit.132","76.851","76.851"
"Q7_Page_Submit.133","79.287","79.287"
"Q7_Page_Submit.134","79.419","79.419"
"Q7_Page_Submit.135","79.589","79.589"
"Q7_Page_Submit.136","81.3","81.3"
"Q7_Page_Submit.137","83.271","83.271"
"Q7_Page_Submit.138","83.433","83.433"
"Q7_Page_Submit.139","83.828","83.828"
"Q7_Page_Submit.140","85.881","85.881"
"Q7_Page_Submit.141","90.759","90.759"
"Q7_Page_Submit.142","93.168","93.168"
"Q7_Page_Submit.143","93.48","93.48"
"Q7_Page_Submit.144","93.9","93.9"
"Q7_Page_Submit.145","95.89","95.89"
"Q7_Page_Submit.146","98.581","98.581"
"Q7_Page_Submit.147","103.105","103.105"
"Q7_Page_Submit.148","106.371","106.371"
"Q7_Page_Submit.149","111.904","111.904"
"Q7_Page_Submit.150","112.517","112.517"
"Q7_Page_Submit.151","113.125","113.125"
"Q7_Page_Submit.152","114.233","114.233"
"Q7_Page_Submit.153","114.684","114.684"
"Q7_Page_Submit.154","114.962","114.962"
"Q7_Page_Submit.155","118.087","118.087"
"Q7_Page_Submit.156","132.416","132.416"
"Q7_Page_Submit.157","135.953","135.953"
"Q7_Page_Submit.158","142.392","142.392"
"Q7_Page_Submit.159","149.064","149.064"
"Q7_Page_Submit.160","149.852","149.852"
"Q7_Page_Submit.161","158.831","158.831"
"Q7_Page_Submit.162","167.153","167.153"
"Q7_Page_Submit.163","168.802","168.802"
"Q7_Page_Submit.164","192.636","192.636"
"Q7_Page_Submit.165","231.734","231.734"
"Q7_Page_Submit.166","453.343","453.343"
"Q7_Click_Count.1","0","0"
"Q7_Click_Count.2","4","4"
"Q7_Click_Count.3","7","7"
"Q7_Click_Count.4","8","8"
"Q7_Click_Count.5","11","11"
"Q7_Click_Count.6","12","12"
"Q7_Click_Count.7","13","13"
"Q7_Click_Count.8","14","14"
"Q7_Click_Count.9","15","15"
"Q7_Click_Count.10","16","16"
"Q7_Click_Count.11","17","17"
"Q7_Click_Count.12","18","18"
"Q7_Click_Count.13","20","20"
"Q7_Click_Count.14","21","21"
"Q7_Click_Count.15","22","22"
